"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 02 13:46:51 UTC 2025","Thu Oct 02 13:46:52 UTC 2025","496","tests","test_iou_per_image","","","","image-6 — IoU=0.860",""
"passed","Thu Oct 02 13:46:51 UTC 2025","Thu Oct 02 13:46:51 UTC 2025","417","tests","test_iou_per_image","","","","image-5 — IoU=0.948",""
"passed","Thu Oct 02 13:46:49 UTC 2025","Thu Oct 02 13:46:49 UTC 2025","512","tests","test_iou_per_image","","","","image-1 — IoU=0.966",""
"passed","Thu Oct 02 13:46:50 UTC 2025","Thu Oct 02 13:46:50 UTC 2025","338","tests","test_iou_per_image","","","","image-3 — IoU=0.924",""
"passed","Thu Oct 02 13:46:49 UTC 2025","Thu Oct 02 13:46:49 UTC 2025","0","tests","test_data_integrity","","","","test_every_mask_has_an_image",""
"passed","Thu Oct 02 13:46:49 UTC 2025","Thu Oct 02 13:46:49 UTC 2025","1","tests","test_data_integrity","","","","test_images_not_empty",""
"passed","Thu Oct 02 13:46:49 UTC 2025","Thu Oct 02 13:46:50 UTC 2025","303","tests","test_iou_per_image","","","","image-11 — IoU=0.944",""
"passed","Thu Oct 02 13:46:49 UTC 2025","Thu Oct 02 13:46:49 UTC 2025","387","tests","test_iou_per_image","","","","image-10 — IoU=0.960",""
"passed","Thu Oct 02 13:46:52 UTC 2025","Thu Oct 02 13:46:53 UTC 2025","461","tests","test_iou_per_image","","","","image-9 — IoU=0.845",""
"passed","Thu Oct 02 13:46:49 UTC 2025","Thu Oct 02 13:46:49 UTC 2025","0","tests","test_data_integrity","","","","test_every_image_has_a_mask",""
"passed","Thu Oct 02 13:46:50 UTC 2025","Thu Oct 02 13:46:51 UTC 2025","516","tests","test_iou_per_image","","","","image-4 — IoU=0.958",""
"passed","Thu Oct 02 13:46:52 UTC 2025","Thu Oct 02 13:46:52 UTC 2025","414","tests","test_iou_per_image","","","","image-8 — IoU=0.899",""
"passed","Thu Oct 02 13:46:50 UTC 2025","Thu Oct 02 13:46:50 UTC 2025","370","tests","test_iou_per_image","","","","image-2 — IoU=0.957",""
"passed","Thu Oct 02 13:46:49 UTC 2025","Thu Oct 02 13:46:49 UTC 2025","0","tests","test_data_integrity","","","","test_masks_not_empty",""
